#Saved Data from the class odmr_logic on 28.04.2022 at 11h03m35s.
#
#Parameters:
#===========
#
#CW microwave: OFF
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): [25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25.
# 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25.
# 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25.
# 25. 25. 25. 25.]
#Run Time (s): 9.9999000000000000e+04
#Number of frequency sweeps (#): 110
#Start Frequency (Hz): 2.8500000000000000e+09
#Stop Frequency (Hz): 2.8899000000000000e+09
#Step size (Hz): 7.0000000000000000e+05
#Clock Frequencies (Hz): 50
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.850000e+09	2.916000e+04
2.850700e+09	2.975500e+04
2.851400e+09	2.885500e+04
2.852100e+09	2.877500e+04
2.852800e+09	2.793500e+04
2.853500e+09	2.866500e+04
2.854200e+09	2.841500e+04
2.854900e+09	2.883000e+04
2.855600e+09	2.843500e+04
2.856300e+09	2.847000e+04
2.857000e+09	2.892000e+04
2.857700e+09	2.914500e+04
2.858400e+09	2.792500e+04
2.859100e+09	2.817500e+04
2.859800e+09	2.826500e+04
2.860500e+09	2.784000e+04
2.861200e+09	2.725000e+04
2.861900e+09	2.668500e+04
2.862600e+09	2.604000e+04
2.863300e+09	2.521000e+04
2.864000e+09	2.525500e+04
2.864700e+09	2.587500e+04
2.865400e+09	2.632500e+04
2.866100e+09	2.459000e+04
2.866800e+09	2.496500e+04
2.867500e+09	2.466000e+04
2.868200e+09	2.563500e+04
2.868900e+09	2.526000e+04
2.869600e+09	2.570000e+04
2.870300e+09	2.526500e+04
2.871000e+09	2.513000e+04
2.871700e+09	2.576500e+04
2.872400e+09	2.531500e+04
2.873100e+09	2.528500e+04
2.873800e+09	2.497000e+04
2.874500e+09	2.577500e+04
2.875200e+09	2.587500e+04
2.875900e+09	2.613000e+04
2.876600e+09	2.613000e+04
2.877300e+09	2.707500e+04
2.878000e+09	2.665500e+04
2.878700e+09	2.744000e+04
2.879400e+09	2.801500e+04
2.880100e+09	2.835500e+04
2.880800e+09	2.739000e+04
2.881500e+09	2.857500e+04
2.882200e+09	2.875000e+04
2.882900e+09	2.935500e+04
2.883600e+09	2.855500e+04
2.884300e+09	2.900000e+04
2.885000e+09	2.870000e+04
2.885700e+09	2.898500e+04
2.886400e+09	2.926500e+04
2.887100e+09	2.897000e+04
2.887800e+09	2.882000e+04
2.888500e+09	2.886000e+04
2.889200e+09	2.889500e+04
2.889900e+09	2.904500e+04
