#Saved Data from the class odmr_logic on 28.04.2022 at 11h18m01s.
#
#Parameters:
#===========
#
#CW microwave: OFF
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): [24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24.
# 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24.
# 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24.
# 24. 24. 24. 24.]
#Run Time (s): 9.9999000000000000e+04
#Number of frequency sweeps (#): 54
#Start Frequency (Hz): 2.8500000000000000e+09
#Stop Frequency (Hz): 2.8899000000000000e+09
#Step size (Hz): 7.0000000000000000e+05
#Clock Frequencies (Hz): 50
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.850000e+09	2.376000e+04
2.850700e+09	2.469500e+04
2.851400e+09	2.454500e+04
2.852100e+09	2.442000e+04
2.852800e+09	2.428000e+04
2.853500e+09	2.475500e+04
2.854200e+09	2.430500e+04
2.854900e+09	2.407000e+04
2.855600e+09	2.463000e+04
2.856300e+09	2.335500e+04
2.857000e+09	2.383000e+04
2.857700e+09	2.424000e+04
2.858400e+09	2.363500e+04
2.859100e+09	2.424500e+04
2.859800e+09	2.318000e+04
2.860500e+09	2.307000e+04
2.861200e+09	2.233500e+04
2.861900e+09	2.183500e+04
2.862600e+09	2.138000e+04
2.863300e+09	2.141000e+04
2.864000e+09	2.183000e+04
2.864700e+09	2.130500e+04
2.865400e+09	2.082500e+04
2.866100e+09	2.113000e+04
2.866800e+09	2.122000e+04
2.867500e+09	2.164500e+04
2.868200e+09	2.116000e+04
2.868900e+09	2.201000e+04
2.869600e+09	2.141000e+04
2.870300e+09	2.192500e+04
2.871000e+09	2.147500e+04
2.871700e+09	2.114500e+04
2.872400e+09	2.133500e+04
2.873100e+09	2.109500e+04
2.873800e+09	2.160000e+04
2.874500e+09	2.109000e+04
2.875200e+09	2.097000e+04
2.875900e+09	2.146000e+04
2.876600e+09	2.144500e+04
2.877300e+09	2.219500e+04
2.878000e+09	2.293000e+04
2.878700e+09	2.296500e+04
2.879400e+09	2.313500e+04
2.880100e+09	2.394500e+04
2.880800e+09	2.325000e+04
2.881500e+09	2.431500e+04
2.882200e+09	2.432000e+04
2.882900e+09	2.352000e+04
2.883600e+09	2.359000e+04
2.884300e+09	2.426500e+04
2.885000e+09	2.454000e+04
2.885700e+09	2.394000e+04
2.886400e+09	2.432500e+04
2.887100e+09	2.358500e+04
2.887800e+09	2.451500e+04
2.888500e+09	2.484500e+04
2.889200e+09	2.465000e+04
2.889900e+09	2.495000e+04
