#Saved Data from the class odmr_logic on 28.04.2022 at 10h16m34s.
#
#Parameters:
#===========
#
#CW microwave: OFF
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): [18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18.
# 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18.
# 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18. 18.
# 18. 18. 18. 18.]
#Run Time (s): 9.9999000000000000e+04
#Number of frequency sweeps (#): 50
#Start Frequency (Hz): 2.8500000000000000e+09
#Stop Frequency (Hz): 2.8899000000000000e+09
#Step size (Hz): 7.0000000000000000e+05
#Clock Frequencies (Hz): 50
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.850000e+09	3.227000e+04
2.850700e+09	3.218000e+04
2.851400e+09	3.207000e+04
2.852100e+09	3.222000e+04
2.852800e+09	3.216000e+04
2.853500e+09	3.218000e+04
2.854200e+09	3.182500e+04
2.854900e+09	3.203500e+04
2.855600e+09	3.180500e+04
2.856300e+09	3.177500e+04
2.857000e+09	3.188000e+04
2.857700e+09	3.185500e+04
2.858400e+09	3.232000e+04
2.859100e+09	3.172500e+04
2.859800e+09	3.210500e+04
2.860500e+09	3.158500e+04
2.861200e+09	3.131500e+04
2.861900e+09	3.208500e+04
2.862600e+09	3.157500e+04
2.863300e+09	3.158000e+04
2.864000e+09	3.101000e+04
2.864700e+09	3.169000e+04
2.865400e+09	3.004500e+04
2.866100e+09	2.984500e+04
2.866800e+09	3.052000e+04
2.867500e+09	2.995500e+04
2.868200e+09	2.949500e+04
2.868900e+09	2.988000e+04
2.869600e+09	2.954000e+04
2.870300e+09	2.948000e+04
2.871000e+09	3.016000e+04
2.871700e+09	3.027500e+04
2.872400e+09	3.053000e+04
2.873100e+09	2.999500e+04
2.873800e+09	3.058000e+04
2.874500e+09	3.106000e+04
2.875200e+09	3.083000e+04
2.875900e+09	3.136500e+04
2.876600e+09	3.165000e+04
2.877300e+09	3.152500e+04
2.878000e+09	3.084000e+04
2.878700e+09	3.188500e+04
2.879400e+09	3.121000e+04
2.880100e+09	3.222000e+04
2.880800e+09	3.100500e+04
2.881500e+09	3.199000e+04
2.882200e+09	3.162500e+04
2.882900e+09	3.204500e+04
2.883600e+09	3.133000e+04
2.884300e+09	3.139000e+04
2.885000e+09	3.166000e+04
2.885700e+09	3.142000e+04
2.886400e+09	3.283000e+04
2.887100e+09	3.151000e+04
2.887800e+09	3.254500e+04
2.888500e+09	3.116500e+04
2.889200e+09	3.191500e+04
2.889900e+09	3.233500e+04
