#Saved Data from the class odmr_logic on 28.04.2022 at 11h35m34s.
#
#Parameters:
#===========
#
#CW microwave: OFF
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): [22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22.
# 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22.
# 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22. 22.
# 22. 22. 22. 22.]
#Run Time (s): 9.9999000000000000e+04
#Number of frequency sweeps (#): 52
#Start Frequency (Hz): 2.8500000000000000e+09
#Stop Frequency (Hz): 2.8899000000000000e+09
#Step size (Hz): 7.0000000000000000e+05
#Clock Frequencies (Hz): 50
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.850000e+09	4.047000e+04
2.850700e+09	3.975000e+04
2.851400e+09	4.026000e+04
2.852100e+09	3.992000e+04
2.852800e+09	3.960000e+04
2.853500e+09	4.045500e+04
2.854200e+09	4.002000e+04
2.854900e+09	4.033500e+04
2.855600e+09	4.019000e+04
2.856300e+09	3.982000e+04
2.857000e+09	3.951000e+04
2.857700e+09	3.936500e+04
2.858400e+09	3.992000e+04
2.859100e+09	3.949500e+04
2.859800e+09	3.912000e+04
2.860500e+09	3.931500e+04
2.861200e+09	3.933500e+04
2.861900e+09	3.882500e+04
2.862600e+09	3.836000e+04
2.863300e+09	3.856500e+04
2.864000e+09	3.849500e+04
2.864700e+09	3.769500e+04
2.865400e+09	3.810000e+04
2.866100e+09	3.755000e+04
2.866800e+09	3.807000e+04
2.867500e+09	3.818000e+04
2.868200e+09	3.817500e+04
2.868900e+09	3.838500e+04
2.869600e+09	3.762500e+04
2.870300e+09	3.768500e+04
2.871000e+09	3.811500e+04
2.871700e+09	3.763500e+04
2.872400e+09	3.790500e+04
2.873100e+09	3.742500e+04
2.873800e+09	3.832000e+04
2.874500e+09	3.790500e+04
2.875200e+09	3.797500e+04
2.875900e+09	3.791000e+04
2.876600e+09	3.872500e+04
2.877300e+09	3.947000e+04
2.878000e+09	3.878000e+04
2.878700e+09	3.878500e+04
2.879400e+09	3.973500e+04
2.880100e+09	4.077500e+04
2.880800e+09	3.861000e+04
2.881500e+09	4.068000e+04
2.882200e+09	4.004000e+04
2.882900e+09	4.023000e+04
2.883600e+09	4.005000e+04
2.884300e+09	4.037000e+04
2.885000e+09	4.015000e+04
2.885700e+09	3.988500e+04
2.886400e+09	4.010500e+04
2.887100e+09	4.003500e+04
2.887800e+09	4.120500e+04
2.888500e+09	4.029000e+04
2.889200e+09	3.982000e+04
2.889900e+09	4.022000e+04
