folder,file,channel,range_name,points,condition,microwave_power_dbm,waveplate_angle_deg,f0_hz,fwhm_hz,amplitude,offset_counts,contrast,rmse,estimated_sensitivity_T_per_sqrtHz
22_dBm_60deg,20220428-1133-10_ODMR_data_ch1_range0.dat,ch1,range0,58,22_dBm_60deg,,60.0,2869038595.270895,24873638.49914875,0.14783390938189767,31551.018782233117,0.14783390938189767,447.9420017204062,2.601932454907374e-05
22_dBm_75deg,20220428-1135-34_ODMR_data_ch0_range0.dat,ch0,range0,58,22_dBm_75deg,,75.0,2869467636.2847905,20880423.007876772,0.08490070998439618,41172.06912070583,0.08490070998439618,430.74770804031067,3.3293854656532755e-05
22_dBm_75deg,20220428-1135-34_ODMR_data_ch1_range0.dat,ch1,range0,58,22_dBm_75deg,,75.0,2869467636.2847905,20880423.007876772,0.08490070998439618,41172.06912070583,0.08490070998439618,430.74770804031067,3.3293854656532755e-05
22dBm_50deg,20220428-1142-45_ODMR_data_ch0_range0.dat,ch0,range0,58,22dBm_50deg,22.0,50.0,2869339453.2166963,21365714.123447236,0.14975558557775978,17692.681132204536,0.14975558557775978,395.2286995121119,2.9462867565068793e-05
22dBm_50deg,20220428-1142-45_ODMR_data_ch1_range0.dat,ch1,range0,58,22dBm_50deg,22.0,50.0,2869339453.2166963,21365714.123447236,0.14975558557775978,17692.681132204536,0.14975558557775978,395.2286995121119,2.9462867565068793e-05
24_dBm_45deg,20220428-1123-58_ODMR_data_ch0_range0.dat,ch0,range0,58,24_dBm_45deg,,45.0,2869876630.7810783,28614314.041557256,0.19799676552288892,16941.70745805825,0.19799676552288892,421.5877600554899,3.0498895348989043e-05
24_dBm_45deg,20220428-1123-58_ODMR_data_ch1_range0.dat,ch1,range0,58,24_dBm_45deg,,45.0,2869876630.7810783,28614314.041557256,0.19799676552288892,16941.70745805825,0.19799676552288892,421.5877600554899,3.0498895348989043e-05
24_dBm_55deg,20220428-1118-01_ODMR_data_ch0_range0.dat,ch0,range0,58,24_dBm_55deg,,55.0,2869655114.707056,25925608.800154097,0.20347055936464628,26401.339358747737,0.20347055936464628,493.86517041389493,2.154030558153169e-05
24_dBm_55deg,20220428-1118-01_ODMR_data_ch1_range0.dat,ch1,range0,58,24_dBm_55deg,,55.0,2869655114.707056,25925608.800154097,0.20347055936464628,26401.339358747737,0.20347055936464628,493.86517041389493,2.154030558153169e-05
24_dBm_60deg,20220428-1129-57_ODMR_data_ch0_range0.dat,ch0,range0,58,24_dBm_60deg,,60.0,2869293600.0808463,26837074.645279665,0.16584796325313617,30791.84526127684,0.16584796325313617,531.8773283024715,2.533055055912897e-05
24_dBm_60deg,20220428-1129-57_ODMR_data_ch1_range0.dat,ch1,range0,58,24_dBm_60deg,,60.0,2869293600.0808463,26837074.645279665,0.16584796325313617,30791.84526127684,0.16584796325313617,531.8773283024715,2.533055055912897e-05
24dBm_65deg,20220428-1119-15_ODMR_data_ch0_range0.dat,ch0,range0,58,24dBm_65deg,24.0,65.0,2869998042.0713644,22351425.28352115,0.1468828013568322,36446.514160511215,0.1468828013568322,498.5567315109881,2.189493860541084e-05
24dBm_65deg,20220428-1119-15_ODMR_data_ch1_range0.dat,ch1,range0,58,24dBm_65deg,24.0,65.0,2869998042.0713644,22351425.28352115,0.1468828013568322,36446.514160511215,0.1468828013568322,498.5567315109881,2.189493860541084e-05
25_dBm_65deg,20220428-1214-57_ODMR_data_ch0_range0.dat,ch0,range0,58,25_dBm_65deg,,65.0,2856088657.626792,3528360.9020196158,0.03884335342983248,30041.6666151975,0.03884335342983248,615.9082772570915,1.4395664904008402e-05
25_dBm_65deg,20220428-1214-57_ODMR_data_ch1_range0.dat,ch1,range0,58,25_dBm_65deg,,65.0,2856088657.626792,3528360.9020196158,0.03884335342983248,30041.6666151975,0.03884335342983248,615.9082772570915,1.4395664904008402e-05
25_dBm_70deg,20220428-1208-15_ODMR_data_ch0_range0.dat,ch0,range0,58,25_dBm_70deg,,70.0,2883120173.9262753,5065314.326565807,0.07828545502455696,37207.63818176053,0.07828545502455696,829.3344516485822,9.213968518076588e-06
25_dBm_70deg,20220428-1208-15_ODMR_data_ch1_range0.dat,ch1,range0,58,25_dBm_70deg,,70.0,2883120173.9262753,5065314.326565807,0.07828545502455696,37207.63818176053,0.07828545502455696,829.3344516485822,9.213968518076588e-06
25dBm_50deg,20220428-1210-41_ODMR_data_ch0_range0.dat,ch0,range0,58,25dBm_50deg,25.0,50.0,2883228694.8206143,5398740.130807667,0.08483243788629018,14414.417168696646,0.08483243788629018,553.6553167303326,1.456026861990352e-05
25dBm_50deg,20220428-1210-41_ODMR_data_ch1_range0.dat,ch1,range0,58,25dBm_50deg,25.0,50.0,2883228694.8206143,5398740.130807667,0.08483243788629018,14414.417168696646,0.08483243788629018,553.6553167303326,1.456026861990352e-05
25dBm_55deg,20220428-1213-01_ODMR_data_ch0_range0.dat,ch0,range0,58,25dBm_55deg,25.0,55.0,2883918027.5224166,4195022.754260492,0.11809748032814113,20461.12638488738,0.11809748032814113,748.4651397924979,6.821287830939802e-06
25dBm_55deg,20220428-1213-01_ODMR_data_ch1_range0.dat,ch1,range0,58,25dBm_55deg,25.0,55.0,2883918027.5224166,4195022.754260492,0.11809748032814113,20461.12638488738,0.11809748032814113,748.4651397924979,6.821287830939802e-06
