#Saved Data from the class odmr_logic on 28.04.2022 at 11h59m49s.
#
#Parameters:
#===========
#
#CW microwave: OFF
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): [16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16.
# 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16.
# 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16. 16.
# 16. 16. 16. 16.]
#Run Time (s): 9.9999000000000000e+04
#Number of frequency sweeps (#): 53
#Start Frequency (Hz): 2.8500000000000000e+09
#Stop Frequency (Hz): 2.8899000000000000e+09
#Step size (Hz): 7.0000000000000000e+05
#Clock Frequencies (Hz): 50
#Channel: 0: /Dev1/Ctr0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.850000e+09	2.955000e+04
2.850700e+09	2.969000e+04
2.851400e+09	3.082000e+04
2.852100e+09	2.999500e+04
2.852800e+09	3.001000e+04
2.853500e+09	3.004000e+04
2.854200e+09	2.930000e+04
2.854900e+09	2.893500e+04
2.855600e+09	2.914000e+04
2.856300e+09	2.962000e+04
2.857000e+09	2.894500e+04
2.857700e+09	2.855000e+04
2.858400e+09	2.883500e+04
2.859100e+09	2.997500e+04
2.859800e+09	2.934500e+04
2.860500e+09	2.987500e+04
2.861200e+09	2.930000e+04
2.861900e+09	2.942500e+04
2.862600e+09	2.975500e+04
2.863300e+09	3.013500e+04
2.864000e+09	3.029500e+04
2.864700e+09	2.972500e+04
2.865400e+09	2.984500e+04
2.866100e+09	2.904000e+04
2.866800e+09	2.963000e+04
2.867500e+09	3.027500e+04
2.868200e+09	3.017000e+04
2.868900e+09	2.949500e+04
2.869600e+09	3.022000e+04
2.870300e+09	2.979500e+04
2.871000e+09	3.027500e+04
2.871700e+09	2.923000e+04
2.872400e+09	3.026000e+04
2.873100e+09	3.009000e+04
2.873800e+09	3.010000e+04
2.874500e+09	2.965000e+04
2.875200e+09	3.010500e+04
2.875900e+09	3.031000e+04
2.876600e+09	3.043500e+04
2.877300e+09	2.934000e+04
2.878000e+09	3.000000e+04
2.878700e+09	2.908000e+04
2.879400e+09	2.909500e+04
2.880100e+09	2.978500e+04
2.880800e+09	2.998500e+04
2.881500e+09	2.981000e+04
2.882200e+09	2.964000e+04
2.882900e+09	2.929000e+04
2.883600e+09	2.979000e+04
2.884300e+09	2.924500e+04
2.885000e+09	2.880000e+04
2.885700e+09	2.937500e+04
2.886400e+09	2.933500e+04
2.887100e+09	3.036000e+04
2.887800e+09	2.985000e+04
2.888500e+09	2.993000e+04
2.889200e+09	2.936000e+04
2.889900e+09	3.010000e+04
