#Saved Data from the class odmr_logic on 28.04.2022 at 11h49m05s.
#
#Parameters:
#===========
#
#CW microwave: OFF
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): [20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20.
# 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20.
# 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20.
# 20. 20. 20. 20.]
#Run Time (s): 9.9999000000000000e+04
#Number of frequency sweeps (#): 52
#Start Frequency (Hz): 2.8500000000000000e+09
#Stop Frequency (Hz): 2.8899000000000000e+09
#Step size (Hz): 7.0000000000000000e+05
#Clock Frequencies (Hz): 50
#Channel: 0: /Dev1/Ctr0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.850000e+09	2.386500e+04
2.850700e+09	2.422000e+04
2.851400e+09	2.404000e+04
2.852100e+09	2.426000e+04
2.852800e+09	2.447000e+04
2.853500e+09	2.391500e+04
2.854200e+09	2.330500e+04
2.854900e+09	2.417000e+04
2.855600e+09	2.420500e+04
2.856300e+09	2.418500e+04
2.857000e+09	2.387000e+04
2.857700e+09	2.352500e+04
2.858400e+09	2.375500e+04
2.859100e+09	2.394500e+04
2.859800e+09	2.350500e+04
2.860500e+09	2.383000e+04
2.861200e+09	2.338500e+04
2.861900e+09	2.277500e+04
2.862600e+09	2.242000e+04
2.863300e+09	2.243500e+04
2.864000e+09	2.192500e+04
2.864700e+09	2.211000e+04
2.865400e+09	2.219000e+04
2.866100e+09	2.170000e+04
2.866800e+09	2.225000e+04
2.867500e+09	2.181000e+04
2.868200e+09	2.285000e+04
2.868900e+09	2.282000e+04
2.869600e+09	2.247000e+04
2.870300e+09	2.277500e+04
2.871000e+09	2.225500e+04
2.871700e+09	2.170500e+04
2.872400e+09	2.205500e+04
2.873100e+09	2.186000e+04
2.873800e+09	2.197000e+04
2.874500e+09	2.206500e+04
2.875200e+09	2.232500e+04
2.875900e+09	2.184500e+04
2.876600e+09	2.309000e+04
2.877300e+09	2.358500e+04
2.878000e+09	2.338500e+04
2.878700e+09	2.352500e+04
2.879400e+09	2.416500e+04
2.880100e+09	2.370500e+04
2.880800e+09	2.342500e+04
2.881500e+09	2.366000e+04
2.882200e+09	2.370000e+04
2.882900e+09	2.367500e+04
2.883600e+09	2.406500e+04
2.884300e+09	2.418000e+04
2.885000e+09	2.381000e+04
2.885700e+09	2.436500e+04
2.886400e+09	2.438000e+04
2.887100e+09	2.415000e+04
2.887800e+09	2.393500e+04
2.888500e+09	2.406500e+04
2.889200e+09	2.333500e+04
2.889900e+09	2.439000e+04
