#Saved Data from the class odmr_logic on 28.04.2022 at 11h19m15s.
#
#Parameters:
#===========
#
#CW microwave: OFF
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): [24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24.
# 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24.
# 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24. 24.
# 24. 24. 24. 24.]
#Run Time (s): 9.9999000000000000e+04
#Number of frequency sweeps (#): 58
#Start Frequency (Hz): 2.8500000000000000e+09
#Stop Frequency (Hz): 2.8899000000000000e+09
#Step size (Hz): 7.0000000000000000e+05
#Clock Frequencies (Hz): 50
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.850000e+09	3.479500e+04
2.850700e+09	3.485000e+04
2.851400e+09	3.459500e+04
2.852100e+09	3.464000e+04
2.852800e+09	3.448500e+04
2.853500e+09	3.493000e+04
2.854200e+09	3.508000e+04
2.854900e+09	3.479500e+04
2.855600e+09	3.477000e+04
2.856300e+09	3.415500e+04
2.857000e+09	3.491500e+04
2.857700e+09	3.523000e+04
2.858400e+09	3.425500e+04
2.859100e+09	3.393000e+04
2.859800e+09	3.362000e+04
2.860500e+09	3.420500e+04
2.861200e+09	3.286500e+04
2.861900e+09	3.253500e+04
2.862600e+09	3.269000e+04
2.863300e+09	3.148000e+04
2.864000e+09	3.151000e+04
2.864700e+09	3.146000e+04
2.865400e+09	3.096500e+04
2.866100e+09	3.137500e+04
2.866800e+09	3.171000e+04
2.867500e+09	3.193000e+04
2.868200e+09	3.126000e+04
2.868900e+09	3.128000e+04
2.869600e+09	3.194000e+04
2.870300e+09	3.206500e+04
2.871000e+09	3.140500e+04
2.871700e+09	3.166500e+04
2.872400e+09	3.085000e+04
2.873100e+09	3.115500e+04
2.873800e+09	3.169500e+04
2.874500e+09	3.117500e+04
2.875200e+09	3.150000e+04
2.875900e+09	3.151500e+04
2.876600e+09	3.294500e+04
2.877300e+09	3.275000e+04
2.878000e+09	3.242000e+04
2.878700e+09	3.320000e+04
2.879400e+09	3.331000e+04
2.880100e+09	3.369500e+04
2.880800e+09	3.372500e+04
2.881500e+09	3.418000e+04
2.882200e+09	3.444000e+04
2.882900e+09	3.450500e+04
2.883600e+09	3.447500e+04
2.884300e+09	3.477500e+04
2.885000e+09	3.402000e+04
2.885700e+09	3.487000e+04
2.886400e+09	3.534000e+04
2.887100e+09	3.508000e+04
2.887800e+09	3.496500e+04
2.888500e+09	3.392000e+04
2.889200e+09	3.472500e+04
2.889900e+09	3.479500e+04
