#Saved Data from the class odmr_logic on 28.04.2022 at 12h14m57s.
#
#Parameters:
#===========
#
#CW microwave: OFF
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): [25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25.
# 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25.
# 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25.
# 25. 25. 25. 25.]
#Run Time (s): 9.9999000000000000e+04
#Number of frequency sweeps (#): 55
#Start Frequency (Hz): 2.8500000000000000e+09
#Stop Frequency (Hz): 2.8899000000000000e+09
#Step size (Hz): 7.0000000000000000e+05
#Clock Frequencies (Hz): 50
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.850000e+09	3.042000e+04
2.850700e+09	3.068000e+04
2.851400e+09	3.030500e+04
2.852100e+09	2.972000e+04
2.852800e+09	2.965000e+04
2.853500e+09	3.013000e+04
2.854200e+09	2.849000e+04
2.854900e+09	2.916000e+04
2.855600e+09	2.923500e+04
2.856300e+09	2.907000e+04
2.857000e+09	2.894500e+04
2.857700e+09	2.908000e+04
2.858400e+09	2.949500e+04
2.859100e+09	2.959000e+04
2.859800e+09	3.033000e+04
2.860500e+09	2.992500e+04
2.861200e+09	3.038500e+04
2.861900e+09	2.924000e+04
2.862600e+09	2.986000e+04
2.863300e+09	3.020500e+04
2.864000e+09	3.064500e+04
2.864700e+09	3.012000e+04
2.865400e+09	3.087000e+04
2.866100e+09	3.082500e+04
2.866800e+09	3.008000e+04
2.867500e+09	3.088500e+04
2.868200e+09	2.989500e+04
2.868900e+09	3.057500e+04
2.869600e+09	3.066000e+04
2.870300e+09	3.120000e+04
2.871000e+09	3.113000e+04
2.871700e+09	3.048000e+04
2.872400e+09	3.024000e+04
2.873100e+09	3.008500e+04
2.873800e+09	3.074500e+04
2.874500e+09	3.051500e+04
2.875200e+09	2.991500e+04
2.875900e+09	3.017000e+04
2.876600e+09	3.022000e+04
2.877300e+09	2.954000e+04
2.878000e+09	2.942500e+04
2.878700e+09	2.976500e+04
2.879400e+09	2.941000e+04
2.880100e+09	2.959000e+04
2.880800e+09	2.901000e+04
2.881500e+09	2.879000e+04
2.882200e+09	2.930500e+04
2.882900e+09	2.918000e+04
2.883600e+09	2.849000e+04
2.884300e+09	2.888000e+04
2.885000e+09	2.978500e+04
2.885700e+09	2.986500e+04
2.886400e+09	2.906500e+04
2.887100e+09	2.988000e+04
2.887800e+09	2.948000e+04
2.888500e+09	2.989000e+04
2.889200e+09	3.083500e+04
2.889900e+09	3.076000e+04
