original_name,sanitized_name
633-780 mono avc filtre,633-780_mono_avc_filtre
633-780 mono ss filtre,633-780_mono_ss_filtre
780-970 avec filtre NV,780-970_avec_filtre_NV
780-970 mono-sans filtre,780-970_mono-sans_filtre
Fibre monomode 700 nm avec filtre,Fibre_monomode_700_nm_avec_filtre
Fibre monomode 700 nm sans filtre NV,Fibre_monomode_700_nm_sans_filtre_NV
