#Saved Data from the class odmr_logic on 28.04.2022 at 12h08m15s.
#
#Parameters:
#===========
#
#CW microwave: OFF
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): [25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25.
# 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25.
# 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25.
# 25. 25. 25. 25.]
#Run Time (s): 9.9999000000000000e+04
#Number of frequency sweeps (#): 51
#Start Frequency (Hz): 2.8500000000000000e+09
#Stop Frequency (Hz): 2.8899000000000000e+09
#Step size (Hz): 7.0000000000000000e+05
#Clock Frequencies (Hz): 50
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.850000e+09	3.792500e+04
2.850700e+09	3.749500e+04
2.851400e+09	3.728000e+04
2.852100e+09	3.743000e+04
2.852800e+09	3.732500e+04
2.853500e+09	3.647000e+04
2.854200e+09	3.547000e+04
2.854900e+09	3.578500e+04
2.855600e+09	3.619000e+04
2.856300e+09	3.592000e+04
2.857000e+09	3.510500e+04
2.857700e+09	3.499000e+04
2.858400e+09	3.605500e+04
2.859100e+09	3.660500e+04
2.859800e+09	3.656500e+04
2.860500e+09	3.562500e+04
2.861200e+09	3.704500e+04
2.861900e+09	3.705500e+04
2.862600e+09	3.785000e+04
2.863300e+09	3.741000e+04
2.864000e+09	3.777500e+04
2.864700e+09	3.759500e+04
2.865400e+09	3.790500e+04
2.866100e+09	3.828000e+04
2.866800e+09	3.791000e+04
2.867500e+09	3.723500e+04
2.868200e+09	3.800500e+04
2.868900e+09	3.765500e+04
2.869600e+09	3.850000e+04
2.870300e+09	3.765500e+04
2.871000e+09	3.778000e+04
2.871700e+09	3.814000e+04
2.872400e+09	3.692000e+04
2.873100e+09	3.800000e+04
2.873800e+09	3.794000e+04
2.874500e+09	3.769000e+04
2.875200e+09	3.788500e+04
2.875900e+09	3.738000e+04
2.876600e+09	3.681000e+04
2.877300e+09	3.640000e+04
2.878000e+09	3.636500e+04
2.878700e+09	3.664500e+04
2.879400e+09	3.520000e+04
2.880100e+09	3.649500e+04
2.880800e+09	3.452000e+04
2.881500e+09	3.500500e+04
2.882200e+09	3.524500e+04
2.882900e+09	3.427500e+04
2.883600e+09	3.457000e+04
2.884300e+09	3.519000e+04
2.885000e+09	3.430000e+04
2.885700e+09	3.526000e+04
2.886400e+09	3.661500e+04
2.887100e+09	3.619000e+04
2.887800e+09	3.676000e+04
2.888500e+09	3.726000e+04
2.889200e+09	3.700000e+04
2.889900e+09	3.737500e+04
