#Saved Data from the class odmr_logic on 28.04.2022 at 12h10m41s.
#
#Parameters:
#===========
#
#CW microwave: OFF
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): [25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25.
# 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25.
# 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25.
# 25. 25. 25. 25.]
#Run Time (s): 9.9999000000000000e+04
#Number of frequency sweeps (#): 93
#Start Frequency (Hz): 2.8500000000000000e+09
#Stop Frequency (Hz): 2.8899000000000000e+09
#Step size (Hz): 7.0000000000000000e+05
#Clock Frequencies (Hz): 50
#Channel: 0: /Dev1/Ctr0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.850000e+09	1.544500e+04
2.850700e+09	1.460500e+04
2.851400e+09	1.482500e+04
2.852100e+09	1.490500e+04
2.852800e+09	1.453000e+04
2.853500e+09	1.423000e+04
2.854200e+09	1.389500e+04
2.854900e+09	1.345500e+04
2.855600e+09	1.327500e+04
2.856300e+09	1.345500e+04
2.857000e+09	1.336500e+04
2.857700e+09	1.321000e+04
2.858400e+09	1.374500e+04
2.859100e+09	1.362000e+04
2.859800e+09	1.364500e+04
2.860500e+09	1.374500e+04
2.861200e+09	1.408000e+04
2.861900e+09	1.375000e+04
2.862600e+09	1.470500e+04
2.863300e+09	1.451000e+04
2.864000e+09	1.481000e+04
2.864700e+09	1.494000e+04
2.865400e+09	1.429000e+04
2.866100e+09	1.443500e+04
2.866800e+09	1.427000e+04
2.867500e+09	1.478000e+04
2.868200e+09	1.514000e+04
2.868900e+09	1.491000e+04
2.869600e+09	1.499500e+04
2.870300e+09	1.503500e+04
2.871000e+09	1.527000e+04
2.871700e+09	1.484000e+04
2.872400e+09	1.484000e+04
2.873100e+09	1.498000e+04
2.873800e+09	1.424500e+04
2.874500e+09	1.457500e+04
2.875200e+09	1.507000e+04
2.875900e+09	1.431000e+04
2.876600e+09	1.473000e+04
2.877300e+09	1.465000e+04
2.878000e+09	1.402000e+04
2.878700e+09	1.382000e+04
2.879400e+09	1.416000e+04
2.880100e+09	1.332500e+04
2.880800e+09	1.356000e+04
2.881500e+09	1.377500e+04
2.882200e+09	1.273500e+04
2.882900e+09	1.380500e+04
2.883600e+09	1.306000e+04
2.884300e+09	1.357500e+04
2.885000e+09	1.353500e+04
2.885700e+09	1.363500e+04
2.886400e+09	1.373500e+04
2.887100e+09	1.399500e+04
2.887800e+09	1.350000e+04
2.888500e+09	1.384500e+04
2.889200e+09	1.410000e+04
2.889900e+09	1.504000e+04
