#Saved Data from the class confocal_logic on 27.04.2022 at 11h22m12s.
#
#Parameters:
#===========
#
#X offset (m): 8.5229998615597336e-06
#X image range (m): 1.4999999999999999e-05
#Y offset (m): 2.0385402730173499e-05
#Y image range (m): 1.4999999999999999e-05
#XY resolution (samples per range): 100
#XY Image at z position (m): 3.0623121630274850e-07
#Clock frequency of scanner (Hz): 200
#Return Slowness (Steps during retrace line): 20
#
#Data:
#=====
#x position (m)	y position (m)	z position (m)	count rate /Dev1/Ctr0 (Hz)	
1.672886e-06	1.372508e-05	3.062312e-07	3.200000e+04
1.824401e-06	1.372508e-05	3.062312e-07	4.280000e+04
1.975917e-06	1.372508e-05	3.062312e-07	3.920000e+04
2.127432e-06	1.372508e-05	3.062312e-07	3.080000e+04
2.278947e-06	1.372508e-05	3.062312e-07	3.560000e+04
2.430462e-06	1.372508e-05	3.062312e-07	3.600000e+04
2.581977e-06	1.372508e-05	3.062312e-07	4.160000e+04
2.733492e-06	1.372508e-05	3.062312e-07	4.300000e+04
2.885008e-06	1.372508e-05	3.062312e-07	3.520000e+04
3.036523e-06	1.372508e-05	3.062312e-07	3.620000e+04
3.188038e-06	1.372508e-05	3.062312e-07	3.860000e+04
3.339553e-06	1.372508e-05	3.062312e-07	4.000000e+04
3.491068e-06	1.372508e-05	3.062312e-07	3.540000e+04
3.642583e-06	1.372508e-05	3.062312e-07	4.220000e+04
3.794098e-06	1.372508e-05	3.062312e-07	3.660000e+04
3.945614e-06	1.372508e-05	3.062312e-07	3.600000e+04
4.097129e-06	1.372508e-05	3.062312e-07	3.960000e+04
4.248644e-06	1.372508e-05	3.062312e-07	3.960000e+04
4.400159e-06	1.372508e-05	3.062312e-07	3.920000e+04
4.551674e-06	1.372508e-05	3.062312e-07	3.900000e+04
4.703189e-06	1.372508e-05	3.062312e-07	4.100000e+04
4.854705e-06	1.372508e-05	3.062312e-07	4.020000e+04
5.006220e-06	1.372508e-05	3.062312e-07	4.220000e+04
5.157735e-06	1.372508e-05	3.062312e-07	3.940000e+04
