#Saved Data from the class odmr_logic on 28.04.2022 at 11h44m35s.
#
#Parameters:
#===========
#
#CW microwave: OFF
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): [20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20.
# 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20.
# 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20. 20.
# 20. 20. 20. 20.]
#Run Time (s): 9.9999000000000000e+04
#Number of frequency sweeps (#): 59
#Start Frequency (Hz): 2.8500000000000000e+09
#Stop Frequency (Hz): 2.8899000000000000e+09
#Step size (Hz): 7.0000000000000000e+05
#Clock Frequencies (Hz): 50
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.850000e+09	1.749500e+04
2.850700e+09	1.738500e+04
2.851400e+09	1.736500e+04
2.852100e+09	1.707500e+04
2.852800e+09	1.710000e+04
2.853500e+09	1.672500e+04
2.854200e+09	1.694500e+04
2.854900e+09	1.709000e+04
2.855600e+09	1.674500e+04
2.856300e+09	1.642500e+04
2.857000e+09	1.673500e+04
2.857700e+09	1.694500e+04
2.858400e+09	1.664500e+04
2.859100e+09	1.672500e+04
2.859800e+09	1.665500e+04
2.860500e+09	1.703500e+04
2.861200e+09	1.623000e+04
2.861900e+09	1.604000e+04
2.862600e+09	1.560000e+04
2.863300e+09	1.530500e+04
2.864000e+09	1.511500e+04
2.864700e+09	1.527000e+04
2.865400e+09	1.534500e+04
2.866100e+09	1.565000e+04
2.866800e+09	1.586500e+04
2.867500e+09	1.548000e+04
2.868200e+09	1.533000e+04
2.868900e+09	1.590500e+04
2.869600e+09	1.588000e+04
2.870300e+09	1.570500e+04
2.871000e+09	1.509000e+04
2.871700e+09	1.476500e+04
2.872400e+09	1.513500e+04
2.873100e+09	1.506000e+04
2.873800e+09	1.525000e+04
2.874500e+09	1.511000e+04
2.875200e+09	1.532000e+04
2.875900e+09	1.536000e+04
2.876600e+09	1.548000e+04
2.877300e+09	1.580500e+04
2.878000e+09	1.575500e+04
2.878700e+09	1.664500e+04
2.879400e+09	1.624000e+04
2.880100e+09	1.648000e+04
2.880800e+09	1.629500e+04
2.881500e+09	1.671500e+04
2.882200e+09	1.670000e+04
2.882900e+09	1.729000e+04
2.883600e+09	1.706500e+04
2.884300e+09	1.662500e+04
2.885000e+09	1.665000e+04
2.885700e+09	1.686000e+04
2.886400e+09	1.684500e+04
2.887100e+09	1.694000e+04
2.887800e+09	1.672000e+04
2.888500e+09	1.663500e+04
2.889200e+09	1.694500e+04
2.889900e+09	1.631500e+04
