#Saved Data from the class odmr_logic on 28.04.2022 at 12h13m01s.
#
#Parameters:
#===========
#
#CW microwave: OFF
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): [25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25.
# 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25.
# 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25. 25.
# 25. 25. 25. 25.]
#Run Time (s): 9.9999000000000000e+04
#Number of frequency sweeps (#): 57
#Start Frequency (Hz): 2.8500000000000000e+09
#Stop Frequency (Hz): 2.8899000000000000e+09
#Step size (Hz): 7.0000000000000000e+05
#Clock Frequencies (Hz): 50
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.850000e+09	2.081000e+04
2.850700e+09	2.038500e+04
2.851400e+09	1.980500e+04
2.852100e+09	1.993500e+04
2.852800e+09	1.935000e+04
2.853500e+09	1.888000e+04
2.854200e+09	1.931000e+04
2.854900e+09	1.910000e+04
2.855600e+09	1.916500e+04
2.856300e+09	1.867000e+04
2.857000e+09	1.958500e+04
2.857700e+09	1.953000e+04
2.858400e+09	1.949500e+04
2.859100e+09	2.015500e+04
2.859800e+09	1.977000e+04
2.860500e+09	2.035500e+04
2.861200e+09	2.024500e+04
2.861900e+09	2.041000e+04
2.862600e+09	2.081500e+04
2.863300e+09	2.028000e+04
2.864000e+09	2.081500e+04
2.864700e+09	2.078000e+04
2.865400e+09	2.016500e+04
2.866100e+09	2.102500e+04
2.866800e+09	2.102500e+04
2.867500e+09	2.057500e+04
2.868200e+09	2.053500e+04
2.868900e+09	2.163000e+04
2.869600e+09	2.171500e+04
2.870300e+09	2.177500e+04
2.871000e+09	2.087000e+04
2.871700e+09	2.131500e+04
2.872400e+09	2.104000e+04
2.873100e+09	2.116500e+04
2.873800e+09	2.158500e+04
2.874500e+09	2.143500e+04
2.875200e+09	2.084000e+04
2.875900e+09	2.098500e+04
2.876600e+09	2.136500e+04
2.877300e+09	2.056000e+04
2.878000e+09	1.948500e+04
2.878700e+09	2.027000e+04
2.879400e+09	2.052500e+04
2.880100e+09	1.991000e+04
2.880800e+09	1.964000e+04
2.881500e+09	1.856500e+04
2.882200e+09	1.900500e+04
2.882900e+09	1.830500e+04
2.883600e+09	1.817000e+04
2.884300e+09	1.865000e+04
2.885000e+09	1.829000e+04
2.885700e+09	1.899500e+04
2.886400e+09	1.909000e+04
2.887100e+09	1.925500e+04
2.887800e+09	1.934000e+04
2.888500e+09	2.033000e+04
2.889200e+09	2.042000e+04
2.889900e+09	2.126000e+04
